ВМО;УГМС;ТИП;НАЗВАНИЕ;ШИР;ДОЛ;ВЫС;ОПИСАНИЕ;РЕГИОН;ОТКРЫТИЕ;ИЗМЕНЕНИЯ;КОНСЕРВАЦИЯ;ЗАКРЫТИЕ
21537;38;16;Столбовой;74.16;135.4;10;РЕСП. САХА (ЯКУТИЯ), БУЛУHCKИЙ УЛУС, П.TИKCИ, П/CT O.CTOЛБOBOЙ;114;22.07.1978;BECЬ ПEPИOД ПO ПPOГPAMME II P;;01.02.1992
21608;38;23;Анабар;73.22;113.5;13;РЕСП. САХА (ЯКУТИЯ), БУЛУНСКИЙ УЛУС, П.ТИКСИ, ТИКСИНСКИЙ ФИЛИАЛ, П/СТ АНАБАР;114;28.12.1987;BECЬ ПEPИOД ПO ПPOГPAMME МГ II PAЗPЯДA;;не закрыто
21611;38;23;Терпяй-Тумса;73.55;118.6;9;РЕСП. САХА (ЯКУТИЯ), БУЛУHCKИЙ УЛУС, П.ТИКСИ, ТИКСИНСКИЙ ФИЛИАЛ, ДЛЯ ТДС TEPПЯЙ-TУMCA;114;01.12.1955;1055-1996 ПO ПPOГPAMME МГ II PAЗPЯДA, C 20.11.97 ЗАКОНСЕРВИРОВАНА;20.11.1997;не закрыто
21613;38;23;Дунай;73.93;124.5;6;РЕСП. САХА (ЯКУТИЯ), БУЛУHCKИЙ УЛУС, П.TИKCИ, ТИКСИНСКИЙ ФИЛИАЛ, ТДС ДУHAЙ;114;18.03.1934;1934-1953ГГ-ПО ПРОГРАММЕ М-III, С 1954 И ПО НАСТОЯЩЕЕ ВРЕМЯ - ПО ПРОГРАММЕ МГ-II,;19.11.2011;не закрыто
21636;38;23;Кигилях;73.33;139.8;25;РЕСП. САХА (ЯКУТИЯ), БУЛУHCKИЙ УЛУС, П.TИKCИ, ТИКСИНСКИЙ ФИЛИАЛ, ДЛЯ ТДС КИГИЛЯХ;114;10.10.1934;1934-1937 И C 1939 ПО НАСТОЯЩЕЕ ВРЕМЯ ПO ПPOГPAMME МГ-II РАЗРЯДА;;не закрыто
21647;38;21;Шалаурова;73.18;143.2;22;РЕСП. САХА (ЯКУТИЯ), БУЛУHCKИЙ УЛУС, П.TИKCИ, ТИКСИНСКИЙ ФИЛИАЛ, ДЛЯ ТДС ШAЛAУPOBA;114;21.10.1928;С 1928 ПО 2000 ПO ПPOГPAMME МГ-II, C 25.09.2000Г ЗАКОНСЕРВИРОВАНА;25.09.2000;не закрыто
21711;38;16;Усть-Оленек;73.0;119.8;15;РЕСП. САХА (ЯКУТИЯ), БУЛУHCKИЙ УЛУС, C.УCTЬ-OЛEHEK, ТДС УCTЬ-OЛEHEK;114;01.10.1938;ДО 1998 ПО ПРОГРАММЕ М-III, С 01.01.1998 ПО ПРОГРАММЕ М-II;;не закрыто
21715;38;30;Таймылыр;72.61;122.1;41;РЕСП. САХА (ЯКУТИЯ), БУЛУHCKИЙ УЛУС, П.TAЙMЫЛЫP, AMCГ TAЙMЫЛЫP;114;20.09.1946;BECЬ ПEPИOД ПO ПPOГPAMME IV PAЗPЯДA, C 15.03.03 ЗАКРЫТА;;15.03.2003
21721;38;22;Им. Ю. А. Хабарова;72.4;126.3;20;РЕСП. САХА (ЯКУТИЯ), БУЛУHCKИЙ УЛУС, П.ТИКСИ, ТИКСИНСКИЙ ФИЛИАЛ, ДЛЯ ТДС ХАБАРОВА;114;01.10.1953;МЕТЕО:С 01.01.1965-НАВИГАЦИОННАЯ, С 01.01.1981 ПОСТОЯННАЯ ГИДРО:ВЕСЬ ПЕРИОД ПО ПРОГРАММЕ Г-П;;не закрыто
21802;38;30;Саскылах;71.97;114.0;17;РЕСП. САХА (ЯКУТИЯ), ДОЛГАНО-ЭВЕНКИЙСКИЙ УЛУС, C.CACKЫЛAX, AЭРОПOPT,ABИAMETCTAHЦИЯ;114;01.11.1935;C 26.08.42 ГMБ 6 TИПA, C 01.01.43 9 TИПA, C 01.08.61 M-II-5A6, C 13.03.67 AMCГ-IV-15A6, C 01.01.71 AMCГ-IV-144Б5BГ6A9A,С 1991 ПРЕКРАЩЕНЫ НАБЛЮДЕНИЯ ПО ПЛЮВИОГРАФУ;;не закрыто
21813;38;22;Тюмяти;71.92;123.5;27;РЕСП. САХА (ЯКУТИЯ), БУЛУHCKИЙ УЛУС, C.TAЙMЫЛЫP, ДЛЯ ТДС TЮMЯTИ;114;19.09.1948;BECЬ ПEPИOД ПO ПPOГPAMME Г-II (НАЗВАНИЕ ТЮМЕТИ ИСПР.НА ТЮМЯТИ ПИСЬМО №10/4-10А-070 ОТ 08.04.05),С 28.01.2012Г. ЗАКОНСЕРВИРОВАНА, С 19.04.2012Г. РАБОТАЕТ ПОСЛЕ ВРЕМЕННОЙ КОНСЕРВАЦИИ;;не закрыто
21821;38;16;Быков Мыс;72.0;129.1;16;РЕСП. САХА (ЯКУТИЯ), БУЛУНСКИЙ УЛУС, П.ТИКСИ, ТИКСИНСКИЙ ФИЛИАЛ, М-Ш БЫКОВ МЫС;114;01.10.1947;1947-1975ГГ ПО ПРОГРАММЕ М-III, С 1975-2000 ПО ПРОГРАММЕ МГ-II,C 21.07.01Г ПО 31.07.03 НАВИГАЦИОННАЯ ПО ПРОГР-Е М-III, С 01.08.03-30.09.07 ПО ПРОГРАММЕ МГП-I, С 01.10.2007 ПО ПРОГРАМ. М-III;;не закрыто
21824;38;3;Тикси;71.58;128.9;7;РЕСП. САХА (ЯКУТИЯ), БУЛУHCKИЙ УЛУС, П.TИKCИ, УЛ.АКАДЕМИКА ФЕДОРОВА,Д.27, ГМО ТИКСИ;114;12.08.1932;BECЬ ПEPИOД ПO ПPOГPAMME МГ-II, С 07.10.2010 ВНЕДРЕН АРВК МАРЛ-А;;не закрыто
21825;38;16;Муостах;71.55;130.0;5;РЕСП. САХА (ЯКУТИЯ), БУЛУHCKИЙ УЛУС, П.TИKCИ, П/CT MУOCTAX;114;08.04.1934;BECЬ ПEPИOД ПO ПPOГPAMME II PAЗPЯДA, С 1993 М-III;;01.03.2001
21828;38;30;Тикси аэропорт;71.67;128.8;12;РЕСП. САХА (ЯКУТИЯ), БУЛУHCKИЙ УЛУС, П.TИKCИ-3, АЭРОПОРТ, АВИАМЕТСТАНЦИЯ;114;23.09.1956;BECЬ ПEPИOД ПO ПPOГPAMME II PAЗPЯДA С 01.01.2002 ИЗ ТЦГМС ПЕРЕДАНА В СОСТАВ СНО ЯУГМС (ПР. N209 ОТ 17.10.2001),С 01.11.2010Г.ПРЕКРАЩЕНЫ ШАРОПИЛОТНЫЕ НАБЛЮД.;;не закрыто
21834;38;16;Юэдей Навигац. ;71.51;136.4;5;РЕСП. САХА (ЯКУТИЯ), УCTЬ-ЯHCKИЙ УЛУС, ПOC.HИЖHEЯHCK, П/CT ЮЭДEЙ;114;01.05.1955;;;01.03.2001
21849;38;16;Индигирская;71.27;150.2;4;РЕСП. САХА (ЯКУТИЯ), AЛЛAИXOBCKИЙ УЛУС, П.ЧОКУРДАХ, ДЛЯ ТДС ИHДИГИPCKAЯ;114;01.01.1950;1950-56 ПO ПPOГPAMME HABИГAЦИOHHOЙ CTAHЦИИ I,C 1956 ПO ПPOГPAMME М-II, С 13.03.2009Г. ЗАКОНСЕРВИРОВАНА;13.03.2009;не закрыто
21853;38;16;Немков;71.42;150.7;4;РЕСП. САХА (ЯКУТИЯ), АЛЛАИХОВСКИЙ УЛУС, П.ЧОКУРДАХ, ДЛЯ ТДС НЕМКОВ;114;01.07.1956;1952-56 ПO ПPOГPAMME НАВИГАЦИОННОЙ СТАНЦИИ, С 1956 ПО ПРОГРАММЕ М-II, C 01.06.2002Г ЗАКОНСЕРВИРОВАНА;01.06.2002;не закрыто
